user_id,event_time,event_type,product_name
1,2026-05-17 03:25:55.149445,landing_page_view,Chidri Track Pants
1,2026-05-17 03:28:09.149445,viewed_item,Chidri Track Pants
2,2026-05-21 07:20:23.680912,landing_page_view,Shinobi Compression Tee
2,2026-05-21 07:22:00.680912,viewed_item,Shinobi Compression Tee
3,2026-06-02 17:22:22.481595,landing_page_view,Mecha Box Logo Hoodie
3,2026-06-02 17:27:34.481595,viewed_item,Mecha Box Logo Hoodie
3,2026-06-02 17:33:00.481595,added_to_cart,Mecha Box Logo Hoodie
4,2026-05-19 22:21:07.343289,landing_page_view,Shadow Clone Graphic Tee
4,2026-05-19 22:23:51.343289,viewed_item,Shadow Clone Graphic Tee
5,2026-06-02 02:17:07.030461,landing_page_view,Neo-Tokyo Reflective Windbreaker
5,2026-06-02 02:20:13.030461,viewed_item,Neo-Tokyo Reflective Windbreaker
6,2026-06-03 22:00:20.553994,landing_page_view,Shinobi Compression Tee
6,2026-06-03 22:04:11.553994,viewed_item,Shinobi Compression Tee
7,2026-05-27 18:27:02.526117,landing_page_view,Cursed Energy Knit Sweater
7,2026-05-27 18:31:07.526117,viewed_item,Cursed Energy Knit Sweater
8,2026-05-14 18:46:31.396104,landing_page_view,Capsule Corp Canvas Tote
8,2026-05-14 18:50:07.396104,viewed_item,Capsule Corp Canvas Tote
9,2026-05-18 02:26:28.221731,landing_page_view,Shinobi Compression Tee
9,2026-05-18 02:29:23.221731,viewed_item,Shinobi Compression Tee
9,2026-05-18 02:30:47.221731,added_to_cart,Shinobi Compression Tee
9,2026-05-18 02:34:16.221731,initiated_checkout,Shinobi Compression Tee
9,2026-05-18 02:37:26.221731,completed_purchase,Shinobi Compression Tee
10,2026-05-10 09:03:46.160574,landing_page_view,Retro Nuptse-Style Puffer
10,2026-05-10 09:05:24.160574,viewed_item,Retro Nuptse-Style Puffer
11,2026-05-27 20:23:04.275808,landing_page_view,Ghost in the Shell Balaclava
11,2026-05-27 20:27:03.275808,viewed_item,Ghost in the Shell Balaclava
12,2026-05-26 15:09:14.527982,landing_page_view,Chidri Track Pants
12,2026-05-26 15:10:28.527982,viewed_item,Chidri Track Pants
13,2026-05-31 04:01:38.088110,landing_page_view,EVA-01 Oversized Work Jacket
13,2026-05-31 04:07:34.088110,viewed_item,EVA-01 Oversized Work Jacket
13,2026-05-31 04:10:47.088110,added_to_cart,EVA-01 Oversized Work Jacket
14,2026-05-28 18:39:01.732461,landing_page_view,Vagabond Distressed Bucket Hat
15,2026-05-12 17:58:49.527638,landing_page_view,Neo-Tokyo Reflective Windbreaker
15,2026-05-12 18:04:05.527638,viewed_item,Neo-Tokyo Reflective Windbreaker
16,2026-05-11 08:28:10.108263,landing_page_view,Vagabond Distressed Bucket Hat
16,2026-05-11 08:30:42.108263,viewed_item,Vagabond Distressed Bucket Hat
17,2026-05-12 09:24:40.833475,landing_page_view,Super Saiyan Heavyweight Hoodie
17,2026-05-12 09:29:18.833475,viewed_item,Super Saiyan Heavyweight Hoodie
17,2026-05-12 09:30:42.833475,added_to_cart,Super Saiyan Heavyweight Hoodie
18,2026-05-14 00:00:19.796434,landing_page_view,Cursed Energy Knit Sweater
18,2026-05-14 00:02:02.796434,viewed_item,Cursed Energy Knit Sweater
19,2026-05-14 02:53:25.467690,landing_page_view,Vagabond Distressed Bucket Hat
19,2026-05-14 02:54:43.467690,viewed_item,Vagabond Distressed Bucket Hat
19,2026-05-14 02:58:53.467690,added_to_cart,Vagabond Distressed Bucket Hat
20,2026-06-01 19:06:55.129571,landing_page_view,Ghost in the Shell Balaclava
21,2026-05-14 13:18:27.830227,landing_page_view,Super Saiyan Heavyweight Hoodie
21,2026-05-14 13:22:20.830227,viewed_item,Super Saiyan Heavyweight Hoodie
22,2026-05-31 13:24:26.774614,landing_page_view,Retro Nuptse-Style Puffer
22,2026-05-31 13:30:15.774614,viewed_item,Retro Nuptse-Style Puffer
23,2026-05-08 22:42:15.634728,landing_page_view,Mecha Box Logo Hoodie
23,2026-05-08 22:44:14.634728,viewed_item,Mecha Box Logo Hoodie
24,2026-05-09 19:05:20.237891,landing_page_view,Capsule Corp Canvas Tote
25,2026-05-26 00:39:32.823481,landing_page_view,Retro Nuptse-Style Puffer
26,2026-05-23 05:28:48.274592,landing_page_view,Ghost in the Shell Balaclava
26,2026-05-23 05:30:56.274592,viewed_item,Ghost in the Shell Balaclava
26,2026-05-23 05:35:31.274592,added_to_cart,Ghost in the Shell Balaclava
27,2026-05-16 16:04:45.719579,landing_page_view,Hokage Denim Jacket
28,2026-05-30 22:22:49.336030,landing_page_view,Vagabond Distressed Bucket Hat
28,2026-05-30 22:25:34.336030,viewed_item,Vagabond Distressed Bucket Hat
29,2026-05-26 21:49:45.909996,landing_page_view,Chidri Track Pants
